Localización;Edad;Sexo;Causa De Muerte O Lesión;Porcentaje Del Total Muertes 2017;Variación Porcentual Anual Muertes 2010-2017
Japón;10 a 20 años;Mujeres;Urinary diseases and male infertility;0,00485;0,017
Japón;10 a 20 años;Mujeres;Gynecological diseases;0,00015;0,0009
Japón;10 a 20 años;Mujeres;Hemoglobinopathies and hemolytic anemias;0,00187;-0,00991
Japón;10 a 20 años;Mujeres;Endocrine, metabolic, blood, and immune disorders;0,00258;0,01403
Japón;10 a 20 años;Mujeres;Rheumatoid arthritis;0,00085;0,0067
Japón;10 a 20 años;Mujeres;Osteoarthritis; -   ; -   
Japón;10 a 20 años;Mujeres;Low back pain; -   ; -   
Japón;10 a 20 años;Mujeres;Neck pain; -   ; -   
Japón;10 a 20 años;Mujeres;Gout; -   ; -   
Japón;10 a 20 años;Mujeres;Other musculoskeletal disorders;0,00132;0,01296
Japón;10 a 20 años;Mujeres;Congenital birth defects;0,01045;-0,02554
Japón;10 a 20 años;Mujeres;Dermatitis; -   ; -   
Japón;10 a 20 años;Mujeres;Psoriasis; -   ; -   
Japón;10 a 20 años;Mujeres;Scabies; -   ; -   
Japón;10 a 20 años;Mujeres;Fungal skin diseases; -   ; -   
Japón;10 a 20 años;Mujeres;Viral skin diseases; -   ; -   
Japón;10 a 20 años;Mujeres;Acne vulgaris; -   ; -   
Japón;10 a 20 años;Mujeres;Alopecia areata; -   ; -   
Japón;10 a 20 años;Mujeres;Pruritus; -   ; -   
Japón;10 a 20 años;Mujeres;Urticaria; -   ; -   
Japón;10 a 20 años;Mujeres;Decubitus ulcer;0,00036;0,00657
Japón;10 a 20 años;Mujeres;Other skin and subcutaneous diseases;7,04E-05;0,01092
Japón;10 a 20 años;Mujeres;Age-related and other hearing loss; -   ; -   
Japón;10 a 20 años;Mujeres;Other sense organ diseases; -   ; -   
Japón;10 a 20 años;Mujeres;Oral disorders; -   ; -   
Japón;10 a 20 años;Mujeres;Sudden infant death syndrome;0,00071;-0,03119
Japón;10 a 20 años;Mujeres;Road injuries;0,02222;-0,01038
Japón;10 a 20 años;Mujeres;Other transport injuries;0,00164;-0,00991
Japón;10 a 20 años;Mujeres;Falls;0,01244;0,00877
Japón;10 a 20 años;Mujeres;Drowning;0,00528;-0,03521
Japón;10 a 20 años;Mujeres;Fire, heat, and hot substances;0,00216;-0,02546
Japón;10 a 20 años;Mujeres;Poisonings;0,00129;-0,02248
Japón;10 a 20 años;Mujeres;Exposure to mechanical forces;0,00244;-0,01885
Japón;10 a 20 años;Mujeres;Adverse effects of medical treatment;0,00217;-0,00055
Japón;10 a 20 años;Mujeres;Animal contact;0,00145;-0,01525
Japón;10 a 20 años;Mujeres;Foreign body;0,00222;-0,01831
Japón;10 a 20 años;Mujeres;Other unintentional injuries;0,00169;-0,01599
Japón;10 a 20 años;Mujeres;Self-harm;0,01419;-0,01517
Japón;10 a 20 años;Mujeres;Interpersonal violence;0,00725;-0,01767
Japón;10 a 20 años;Mujeres;Exposure to forces of nature;0,00017;0,19711
Japón;10 a 20 años;Mujeres;Environmental heat and cold exposure;0,00095;0,08879
Japón;10 a 20 años;Mujeres;Ebola;1,43E-07; -   
Japón;10 a 20 años;Mujeres;Executions and police conflict;0,00029;-0,02324
Japón;10 a 20 años;Mujeres;Zika virus;3,47E-07; -   
Japón;10 a 20 años;Mujeres;Guinea worm disease; -   ; -   
Japón;10 a 20 años;Mujeres;Conflict and terrorism;0,00232;0,03258
Japón;10 a 20 años;Mujeres;Typhoid and paratyphoid;0,00243;-0,03215
Japón;10 a 20 años;Mujeres;Invasive Non-typhoidal Salmonella (iNTS);0,00106;-0,03316
Japón;10 a 20 años;Mujeres;Headache disorders; -   ; -   
Japón;10 a 20 años;Mujeres;Bacterial skin diseases;0,00136;0,01578
Japón;10 a 20 años;Mujeres;Blindness and vision impairment; -   ; -   
Japón;10 a 20 años;Mujeres;Upper digestive system diseases;0,00522;-0,02107
Japón;10 a 20 años;Hombres;Tuberculosis;0,11219;0,01129
Japón;10 a 20 años;Hombres;HIV/AIDS;0,05187;0,18919
Japón;10 a 20 años;Hombres;Diarrheal diseases;0,02563;0,12268
Japón;10 a 20 años;Hombres;Other intestinal infectious diseases;0,10964;-0,12306
Japón;10 a 20 años;Hombres;Lower respiratory infections;0,00266;0,05769
Japón;10 a 20 años;Hombres;Upper respiratory infections;0,04588;0,16
Japón;10 a 20 años;Hombres;Otitis media;0,15666;-0,17447
Japón;10 a 20 años;Hombres;Meningitis;0,14265;-0,14242
Japón;10 a 20 años;Hombres;Encephalitis;0,10804;-0,1054
Japón;10 a 20 años;Hombres;Diphtheria;0,04166;0,07329
Japón;10 a 20 años;Hombres;Whooping cough;0,13627;0,0875
Japón;10 a 20 años;Hombres;Tetanus;0,02535;0,05843
Japón;10 a 20 años;Hombres;Measles;0,14427;0,18591
Japón;10 a 20 años;Hombres;Varicella and herpes zoster;0,11503;0,18709
Japón;10 a 20 años;Hombres;Malaria;0,0647;0,15522
Japón;10 a 20 años;Hombres;Chagas disease;0,01914;0,1719
Japón;10 a 20 años;Hombres;Leishmaniasis;0,08942;0,18291
Japón;10 a 20 años;Hombres;African trypanosomiasis;0,0597;0,16493
Japón;10 a 20 años;Hombres;Schistosomiasis;0,14411;0,14618
Japón;10 a 20 años;Hombres;Cysticercosis;0,15616;-0,1248
Japón;10 a 20 años;Hombres;Cystic echinococcosis;0,0335;0,01369
Japón;10 a 20 años;Hombres;Lymphatic filariasis;0,05028;-0,15496
Japón;10 a 20 años;Hombres;Onchocerciasis;0,06041;-0,13878
Japón;10 a 20 años;Hombres;Trachoma;0,10054;0,11261
Japón;10 a 20 años;Hombres;Dengue;0,06592;-0,08895
Japón;10 a 20 años;Hombres;Yellow fever;0,0111;0,0702
Japón;10 a 20 años;Hombres;Rabies;0,12778;0,07657
Japón;10 a 20 años;Hombres;Intestinal nematode infections;0,05543;0,03217
Japón;10 a 20 años;Hombres;Food-borne trematodiases;0,09207;-0,04183
Japón;10 a 20 años;Hombres;Other neglected tropical diseases;0,05441;-0,05149
Japón;10 a 20 años;Hombres;Maternal disorders;0,09695;0,10363
Japón;10 a 20 años;Hombres;Neonatal disorders;0,0451;0,04783
Japón;10 a 20 años;Hombres;Protein-energy malnutrition;0,06764;-0,10398
Japón;10 a 20 años;Hombres;Iodine deficiency;0,09442;0,099
Japón;10 a 20 años;Hombres;Vitamin A deficiency;0,01711;0,09673
Japón;10 a 20 años;Hombres;Dietary iron deficiency;0,00097;-0,01811
Japón;10 a 20 años;Hombres;Other nutritional deficiencies;0,08925;-0,10335
Japón;10 a 20 años;Hombres;Sexually transmitted infections excluding HIV;0,14911;0,11829
Japón;10 a 20 años;Hombres;Acute hepatitis;0,15171;-0,08297
Japón;10 a 20 años;Hombres;Leprosy;0,15659;0,13173
Japón;10 a 20 años;Hombres;Other unspecified infectious diseases;0,14147;-0,11415
Japón;10 a 20 años;Hombres;Esophageal cancer;0,04633;0,12397
Japón;10 a 20 años;Hombres;Stomach cancer;0,15136;0,18106
Japón;10 a 20 años;Hombres;Liver cancer;0,04491;0,09905
Japón;10 a 20 años;Hombres;Larynx cancer;0,12133;-0,01086
Japón;10 a 20 años;Hombres;Tracheal, bronchus, and lung cancer;0,04101;0,03733
Japón;10 a 20 años;Hombres;Breast cancer;0,12034;-0,14334
Japón;10 a 20 años;Hombres;Cervical cancer;0,13659;0,11894
Japón;10 a 20 años;Hombres;Uterine cancer;0,1491;0,10482
Japón;10 a 20 años;Hombres;Prostate cancer;0,11245;-0,17799
Japón;10 a 20 años;Hombres;Colon and rectum cancer;0,0289;0,01879
Japón;10 a 20 años;Hombres;Lip and oral cavity cancer;0,04055;-0,00776
Japón;10 a 20 años;Hombres;Nasopharynx cancer;0,1595;0,06249
Japón;10 a 20 años;Hombres;Other pharynx cancer;0,13214;-0,02733
Japón;10 a 20 años;Hombres;Gallbladder and biliary tract cancer;0,13143;-0,16192
Japón;10 a 20 años;Hombres;Pancreatic cancer;0,01018;-0,04371
Japón;10 a 20 años;Hombres;Malignant skin melanoma;0,14906;0,03067
Japón;10 a 20 años;Hombres;Non-melanoma skin cancer;0,06153;-0,12473
Japón;10 a 20 años;Hombres;Ovarian cancer;0,00348;0,05207
Japón;10 a 20 años;Hombres;Testicular cancer;0,0466;0,09956
Japón;10 a 20 años;Hombres;Kidney cancer;0,10708;0,19656
Japón;10 a 20 años;Hombres;Bladder cancer;0,08617;0,05239
Japón;10 a 20 años;Hombres;Brain and nervous system cancer;0,13749;-0,02017
Japón;10 a 20 años;Hombres;Thyroid cancer;0,13964;0,16341
Japón;10 a 20 años;Hombres;Mesothelioma;0,00146;0,14996
Japón;10 a 20 años;Hombres;Hodgkin lymphoma;0,0512;-0,10596
Japón;10 a 20 años;Hombres;Non-Hodgkin lymphoma;0,0949;-0,1212
Japón;10 a 20 años;Hombres;Multiple myeloma;0,00169;-0,02618
Japón;10 a 20 años;Hombres;Leukemia;0,12222;0,19374
Japón;10 a 20 años;Hombres;Other malignant neoplasms;0,08972;-0,09575
Japón;10 a 20 años;Hombres;Other neoplasms;0,00781;0,15697
Japón;10 a 20 años;Hombres;Rheumatic heart disease;0,11385;0,16402
Japón;10 a 20 años;Hombres;Ischemic heart disease;0,0835;-0,10362
Japón;10 a 20 años;Hombres;Stroke;0,01823;-0,07009
Japón;10 a 20 años;Hombres;Hypertensive heart disease;0,04222;0,02283
Japón;10 a 20 años;Hombres;Cardiomyopathy and myocarditis;0,14239;-0,11584
Japón;10 a 20 años;Hombres;Atrial fibrillation and flutter;0,13462;0,06667
Japón;10 a 20 años;Hombres;Aortic aneurysm;0,06836;-0,06592
Japón;10 a 20 años;Hombres;Peripheral artery disease;0,01766;0,08076
Japón;10 a 20 años;Hombres;Endocarditis;0,07709;-0,05279
Japón;10 a 20 años;Hombres;Non-rheumatic valvular heart disease;0,01046;0,1605
Japón;10 a 20 años;Hombres;Other cardiovascular and circulatory diseases;0,03784;0,15339
Japón;10 a 20 años;Hombres;Chronic obstructive pulmonary disease;0,06518;-0,14124
Japón;10 a 20 años;Hombres;Pneumoconiosis;0,12695;0,03189
Japón;10 a 20 años;Hombres;Asthma;0,00127;-0,10739
Japón;10 a 20 años;Hombres;Interstitial lung disease and pulmonary sarcoidosis;0,12681;0,02806
Japón;10 a 20 años;Hombres;Other chronic respiratory diseases;0,04147;-0,07508
Japón;10 a 20 años;Hombres;Cirrhosis and other chronic liver diseases;0,05558;0,06425
Japón;10 a 20 años;Hombres;Appendicitis;0,0901;0,05101
Japón;10 a 20 años;Hombres;Paralytic ileus and intestinal obstruction;0,09697;0,16469
Japón;10 a 20 años;Hombres;Inguinal, femoral, and abdominal hernia;0,02057;0,06487
Japón;10 a 20 años;Hombres;Inflammatory bowel disease;0,08933;0,1237
Japón;10 a 20 años;Hombres;Vascular intestinal disorders;0,04087;0,06723
Japón;10 a 20 años;Hombres;Gallbladder and biliary diseases;0,04064;-0,00607
Japón;10 a 20 años;Hombres;Pancreatitis;0,10485;0,11367
Japón;10 a 20 años;Hombres;Other digestive diseases;0,08913;0,03361
Japón;10 a 20 años;Hombres;Alzheimer's disease and other dementias;0,09371;0,16149
Japón;10 a 20 años;Hombres;Parkinson's disease;0,06964;0,10162
Japón;10 a 20 años;Hombres;Epilepsy;0,03067;0,13405
Japón;10 a 20 años;Hombres;Multiple sclerosis;0,14731;0,06989
Japón;10 a 20 años;Hombres;Motor neuron disease;0,01111;0,00179
Japón;10 a 20 años;Hombres;Other neurological disorders;0,10614;0,07574
Japón;10 a 20 años;Hombres;Schizophrenia;0,14462;-0,10071
Japón;10 a 20 años;Hombres;Alcohol use disorders;0,06762;-0,02576
Japón;10 a 20 años;Hombres;Drug use disorders;0,14851;-0,15856
Japón;10 a 20 años;Hombres;Depressive disorders;0,07229;-0,09386
Japón;10 a 20 años;Hombres;Bipolar disorder;0,06497;-0,16453
Japón;10 a 20 años;Hombres;Anxiety disorders;0,02522;-0,05362
Japón;10 a 20 años;Hombres;Eating disorders;0,10284;0,05099
Japón;10 a 20 años;Hombres;Autism spectrum disorders;0,13508;0,05685
Japón;10 a 20 años;Hombres;Attention-deficit/hyperactivity disorder;0,03166;-0,12446
Japón;10 a 20 años;Hombres;Conduct disorder;0,11365;-0,03761
Japón;10 a 20 años;Hombres;Idiopathic developmental intellectual disability;0,1056;-0,04176
Japón;10 a 20 años;Hombres;Other mental disorders;0,15295;0,16968
Japón;10 a 20 años;Hombres;Diabetes mellitus;0,08647;-0,08786
Japón;10 a 20 años;Hombres;Acute glomerulonephritis;0,05829;0,18019
Japón;10 a 20 años;Hombres;Chronic kidney disease;0,08104;-0,16493
Japón;10 a 20 años;Hombres;Urinary diseases and male infertility;0,14398;-0,01093
Japón;10 a 20 años;Hombres;Gynecological diseases;0,13715;-0,17937
Japón;10 a 20 años;Hombres;Hemoglobinopathies and hemolytic anemias;0,06875;0,02171
Japón;10 a 20 años;Hombres;Endocrine, metabolic, blood, and immune disorders;0,07887;-0,17918
Japón;10 a 20 años;Hombres;Rheumatoid arthritis;0,14274;0,04285
Japón;10 a 20 años;Hombres;Osteoarthritis;0,1315;0,14106
Japón;10 a 20 años;Hombres;Low back pain;0,00248;-0,06813
Japón;10 a 20 años;Hombres;Neck pain;0,06636;-0,09748
Japón;10 a 20 años;Hombres;Gout;0,15163;-0,13849
Japón;10 a 20 años;Hombres;Other musculoskeletal disorders;0,07891;-0,16463
Japón;10 a 20 años;Hombres;Congenital birth defects;0,00562;-0,10656
Japón;10 a 20 años;Hombres;Dermatitis;0,11601;-0,07265
Japón;10 a 20 años;Hombres;Psoriasis;0,15537;0,14183
Japón;10 a 20 años;Hombres;Scabies;0,12624;0,19642
Japón;10 a 20 años;Hombres;Fungal skin diseases;0,0878;0,00008
Japón;10 a 20 años;Hombres;Viral skin diseases;0,01425;-0,17679
Japón;10 a 20 años;Hombres;Acne vulgaris;0,135;0,01252
Japón;10 a 20 años;Hombres;Alopecia areata;0,07556;-0,17602
Japón;10 a 20 años;Hombres;Pruritus;0,08223;0,05719
Japón;10 a 20 años;Hombres;Urticaria;0,06268;-0,08185
Japón;10 a 20 años;Hombres;Decubitus ulcer;0,14133;0,11866
Japón;10 a 20 años;Hombres;Other skin and subcutaneous diseases;0,08083;0,15444
Japón;10 a 20 años;Hombres;Age-related and other hearing loss;0,11384;0,01834
Japón;10 a 20 años;Hombres;Other sense organ diseases;0,08617;-0,14812
Japón;10 a 20 años;Hombres;Oral disorders;0,08086;0,12872
Japón;10 a 20 años;Hombres;Sudden infant death syndrome;0,12349;0,16002
Japón;10 a 20 años;Hombres;Road injuries;0,0105;-0,13694
Japón;10 a 20 años;Hombres;Other transport injuries;0,10167;-0,16735
Japón;10 a 20 años;Hombres;Falls;0,10383;-0,02252
Japón;10 a 20 años;Hombres;Drowning;0,01573;0,18939
Japón;10 a 20 años;Hombres;Fire, heat, and hot substances;0,06562;0,05749
Japón;10 a 20 años;Hombres;Poisonings;0,0342;0,02416
Japón;10 a 20 años;Hombres;Exposure to mechanical forces;0,14888;0,05967
Japón;10 a 20 años;Hombres;Adverse effects of medical treatment;0,00309;-0,04185
Japón;10 a 20 años;Hombres;Animal contact;0,01526;0,13808
Japón;10 a 20 años;Hombres;Foreign body;0,02262;0,07804
Japón;10 a 20 años;Hombres;Other unintentional injuries;0,03415;0,01934
Japón;10 a 20 años;Hombres;Self-harm;0,08078;0,1084
Japón;10 a 20 años;Hombres;Interpersonal violence;0,09243;0,02321
Japón;10 a 20 años;Hombres;Exposure to forces of nature;0,06242;-0,15819
Japón;10 a 20 años;Hombres;Environmental heat and cold exposure;0,05748;0,056
Japón;10 a 20 años;Hombres;Ebola;0,06479;-0,05316
Japón;10 a 20 años;Hombres;Executions and police conflict;0,07255;0,00046
Japón;10 a 20 años;Hombres;Zika virus;0,14474;0,02866
Japón;10 a 20 años;Hombres;Guinea worm disease;0,05219;0,08957
Japón;10 a 20 años;Hombres;Conflict and terrorism;0,11317;-0,03756
Japón;10 a 20 años;Hombres;Typhoid and paratyphoid;0,15394;-0,13556
Japón;10 a 20 años;Hombres;Invasive Non-typhoidal Salmonella (iNTS);0,06056;0,01461
Japón;10 a 20 años;Hombres;Headache disorders;0,13274;-0,0146
Japón;10 a 20 años;Hombres;Bacterial skin diseases;0,11526;-0,09433
Japón;10 a 20 años;Hombres;Blindness and vision impairment;0,15265;0,07897
Japón;10 a 20 años;Hombres;Upper digestive system diseases;0,02461;0,0997
Japón;20 a 30 años;Mujeres;Tuberculosis;0,01118;-0,15107
Japón;20 a 30 años;Mujeres;HIV/AIDS;0,04112;-0,10788
Japón;20 a 30 años;Mujeres;Diarrheal diseases;0,15287;-0,0394
Japón;20 a 30 años;Mujeres;Other intestinal infectious diseases;0,03707;0,00974
Japón;20 a 30 años;Mujeres;Lower respiratory infections;0,02108;-0,03737
Japón;20 a 30 años;Mujeres;Upper respiratory infections;0,0591;0,15847
Japón;20 a 30 años;Mujeres;Otitis media;0,06755;0,01578
Japón;20 a 30 años;Mujeres;Meningitis;0,00419;-0,01611
Japón;20 a 30 años;Mujeres;Encephalitis;0,0955;0,12244
Japón;20 a 30 años;Mujeres;Diphtheria;0,13347;0,03185
Japón;20 a 30 años;Mujeres;Whooping cough;0,03659;-0,0626
Japón;20 a 30 años;Mujeres;Tetanus;0,13883;0,17268
Japón;20 a 30 años;Mujeres;Measles;0,11022;0,0443
Japón;20 a 30 años;Mujeres;Varicella and herpes zoster;0,11247;0,1354
Japón;20 a 30 años;Mujeres;Malaria;0,12095;-0,04114
Japón;20 a 30 años;Mujeres;Chagas disease;0,00049;0,10767
Japón;20 a 30 años;Mujeres;Leishmaniasis;0,15815;-0,00257
Japón;20 a 30 años;Mujeres;African trypanosomiasis;0,05446;0,13922
Japón;20 a 30 años;Mujeres;Schistosomiasis;0,04687;-0,05919
Japón;20 a 30 años;Mujeres;Cysticercosis;0,0999;-0,09282
Japón;20 a 30 años;Mujeres;Cystic echinococcosis;0,03497;0,16988
Japón;20 a 30 años;Mujeres;Lymphatic filariasis;0,03167;-0,04245
Japón;20 a 30 años;Mujeres;Onchocerciasis;0,12707;0,06537
Japón;20 a 30 años;Mujeres;Trachoma;0,01252;0,12887
Japón;20 a 30 años;Mujeres;Dengue;0,07528;0,11504
Japón;20 a 30 años;Mujeres;Yellow fever;0,14335;0,09352
Japón;20 a 30 años;Mujeres;Rabies;0,13706;0,05704
Japón;20 a 30 años;Mujeres;Intestinal nematode infections;0,01148;0,12259
Japón;20 a 30 años;Mujeres;Food-borne trematodiases;0,1256;0,11056
Japón;20 a 30 años;Mujeres;Other neglected tropical diseases;0,03757;0,08783
Japón;20 a 30 años;Mujeres;Maternal disorders;0,06713;-0,0866
